PLAYER_ID,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,SEASONS,FG_PCT,FG3_PCT,FT_PCT
1629130,267,209,7133,1010,2350,808,2017,204,236,50,708,758,396,133,53,234,642,3032,5,0.41,0.37,0.83
1629134,162,113,4140,822,1823,300,837,158,181,47,367,414,402,119,32,225,295,2102,3,0.44,0.35,0.86
1629139,160,8,2166,259,583,116,293,85,124,91,317,408,107,64,52,61,175,719,5,0.42,0.34,0.65
1629162,161,7,2717,303,686,97,287,88,118,57,224,281,563,157,22,134,136,791,4,0.44,0.32,0.8
1629185,91,4,1038,112,317,59,172,20,25,22,95,117,217,42,11,81,90,303,4,0.32,0.35,0.61
1629216,167,40,3328,443,1116,236,701,104,123,47,229,276,386,124,17,191,339,1226,4,0.35,0.31,0.64
1629234,221,45,3355,518,846,11,33,252,342,316,664,980,202,82,172,194,366,1299,5,0.62,0.53,0.76
1629308,169,35,2739,298,573,77,222,76,121,80,444,524,328,112,55,162,302,749,4,0.51,0.32,0.65
1629312,62,10,934,92,224,41,118,10,27,53,123,176,35,33,13,33,74,235,3,0.39,0.3,0.27
1629597,5,0,56,6,12,0,3,0,0,3,6,9,3,1,1,4,10,12,2,0.33,0.0,0.0
1629599,169,41,2659,326,749,135,364,179,221,56,249,305,208,60,20,83,185,966,4,0.42,0.35,0.73
1629603,41,6,421,52,112,5,27,17,25,28,76,104,12,13,19,16,60,126,3,0.46,0.14,0.44
1629604,88,28,1366,146,374,44,160,71,99,77,182,259,97,41,22,61,143,407,2,0.39,0.25,0.72
1629610,29,3,411,47,105,16,58,6,7,13,49,62,24,12,7,8,45,116,3,0.47,0.19,0.61
1629611,244,79,5204,728,1474,169,449,285,364,223,697,920,481,126,55,195,447,1910,4,0.49,0.38,0.76
1629614,47,36,1289,158,371,59,173,24,27,25,112,137,192,49,9,84,127,399,1,0.43,0.34,0.89
1629622,161,41,3651,564,1318,365,982,117,143,65,364,429,226,74,27,116,264,1610,4,0.49,0.27,0.84
1629623,19,0,199,26,61,9,26,19,35,3,22,25,23,5,1,12,17,80,1,0.43,0.35,0.54
1629626,101,34,1483,270,487,40,115,85,118,67,307,374,59,29,88,117,94,665,4,0.52,0.35,0.65
1629627,114,114,3650,1129,1866,23,67,660,955,289,504,793,409,105,64,325,242,2941,3,0.6,0.36,0.68
1629628,246,245,8306,1589,3773,411,1173,850,1199,229,1132,1361,704,174,61,524,570,4439,4,0.42,0.35,0.71
1629629,138,70,3536,508,1296,191,585,269,321,84,351,435,180,145,56,189,277,1476,4,0.4,0.32,0.85
1629630,231,231,7452,1881,3983,294,904,1106,1467,239,854,1093,1703,225,66,775,362,5162,4,0.47,0.33,0.75
1629631,183,177,5681,905,2049,285,787,438,547,115,646,761,286,122,59,256,528,2533,4,0.45,0.36,0.81
1629632,239,72,6442,1099,2654,506,1382,341,404,82,730,812,762,149,36,371,509,3045,4,0.42,0.37,0.83
1629633,144,43,2480,367,915,92,333,108,212,127,275,402,173,100,54,136,239,934,4,0.4,0.22,0.56
1629634,227,27,4866,1035,1714,49,169,337,477,398,868,1266,316,160,200,172,420,2456,4,0.61,0.25,0.71
1629636,226,222,7642,1523,3418,497,1295,588,672,109,481,590,1509,255,22,695,408,4131,4,0.44,0.38,0.87
1629637,223,47,3852,648,1038,30,98,399,556,330,588,918,158,92,159,164,461,1725,4,0.61,0.29,0.72
1629638,144,19,2275,389,942,167,472,111,154,31,279,310,284,93,48,176,218,1056,4,0.4,0.35,0.75
1629639,217,75,6763,1390,3166,525,1377,478,553,91,971,1062,755,151,46,465,311,3783,4,0.44,0.38,0.86
1629640,208,189,6191,1226,2636,341,927,542,712,225,926,1151,419,145,49,279,407,3335,4,0.49,0.41,0.77
1629641,130,30,2070,232,534,52,176,74,116,103,173,276,90,52,40,59,159,590,4,0.41,0.27,0.67
1629642,170,31,2812,356,779,124,369,149,209,135,410,545,125,53,72,90,236,985,4,0.46,0.33,0.7
1629643,133,46,3274,383,986,185,572,101,126,110,494,604,245,156,73,104,177,1052,3,0.39,0.32,0.79
1629644,98,12,965,85,208,28,98,24,36,40,108,148,47,23,26,28,125,222,4,0.46,0.23,0.66
1629645,177,127,5264,946,2211,346,986,407,572,140,606,746,874,187,60,519,461,2645,4,0.43,0.34,0.72
1629646,47,1,495,77,117,2,10,25,36,66,121,187,36,13,39,36,82,181,2,0.65,0.17,0.71
1629647,220,118,5314,742,1813,229,740,321,475,181,1019,1200,269,128,165,278,218,2034,4,0.41,0.33,0.66
1629650,126,39,1585,275,482,0,0,157,278,253,418,671,16,42,78,80,191,707,4,0.54,0.0,0.51
1629651,143,69,3202,574,837,2,14,177,341,279,634,913,169,83,228,126,328,1327,4,0.65,0.09,0.52
1629652,186,178,5454,852,2139,363,1073,444,565,166,515,681,310,171,53,256,533,2511,4,0.4,0.33,0.78
1629653,28,0,188,23,54,4,20,5,9,9,15,24,30,10,0,8,23,55,3,0.37,0.2,0.19
1629655,196,90,3342,608,861,0,1,243,377,351,527,878,146,72,251,161,433,1459,4,0.71,0.0,0.63
1629656,89,44,2099,254,587,155,420,64,81,62,183,245,133,62,28,73,185,727,2,0.43,0.37,0.75
1629659,172,25,3527,568,1320,117,432,246,318,80,384,464,443,157,64,241,343,1499,4,0.44,0.28,0.7
1629660,143,7,2469,373,895,166,471,102,124,39,224,263,356,79,19,122,210,1014,4,0.41,0.35,0.82
1629661,199,51,4822,734,1657,432,1093,221,263,136,583,719,278,144,58,127,315,2121,4,0.45,0.4,0.83
1629662,30,0,264,39,91,18,53,16,19,15,47,62,14,8,12,12,30,112,3,0.45,0.24,0.6
1629667,173,41,3570,508,1095,150,437,198,255,141,530,671,234,125,72,171,382,1364,4,0.47,0.35,0.78
1629669,174,2,2965,591,1335,170,533,201,253,75,301,376,323,89,27,122,243,1553,4,0.42,0.28,0.83
1629670,130,18,2056,324,794,147,391,92,111,75,323,398,104,54,32,115,134,887,3,0.42,0.4,0.82
1629672,158,31,3086,580,1173,95,291,297,392,140,369,509,214,53,25,164,244,1552,3,0.49,0.33,0.75
1629673,237,102,6160,1213,2878,516,1535,663,756,79,539,618,765,167,54,491,526,3605,4,0.41,0.33,0.87
1629674,19,0,145,23,46,0,0,11,19,18,22,40,7,1,9,7,25,57,2,0.6,0.0,0.32
1629675,224,40,3905,832,1665,194,574,319,448,274,701,975,223,122,213,233,548,2177,4,0.49,0.34,0.7
1629676,146,63,2773,431,881,93,259,181,269,182,467,649,212,102,77,178,312,1136,4,0.36,0.27,0.46
1629678,98,3,1187,133,313,63,194,39,49,43,145,188,63,18,12,34,160,368,3,0.43,0.32,0.79
1629680,243,78,4841,413,920,164,505,76,114,133,307,440,240,356,203,129,487,1066,4,0.45,0.32,0.65
1629681,54,4,643,62,184,37,119,14,19,27,57,84,30,28,23,15,78,175,2,0.34,0.31,0.72
1629683,42,0,272,33,73,3,16,19,23,6,26,32,24,12,4,18,41,88,3,0.44,0.19,0.77
1629684,261,53,5486,554,1213,257,672,222,279,227,644,871,294,133,138,225,644,1587,4,0.45,0.36,0.77
1629685,81,0,972,94,228,47,147,36,45,41,155,196,67,33,15,48,84,271,2,0.41,0.32,0.81
1629686,23,0,160,15,50,11,35,3,6,0,35,35,6,5,1,5,13,44,2,0.22,0.25,0.25
1629716,7,0,32,1,3,0,0,5,8,3,5,8,0,3,2,2,1,7,2,0.17,0.0,0.31
1629718,41,3,370,29,101,9,42,23,25,19,34,53,17,16,8,14,40,90,3,0.29,0.22,0.93
1629723,178,29,3073,331,675,125,323,73,104,182,541,723,246,131,45,80,204,860,4,0.52,0.41,0.69
1629726,192,57,3579,365,924,287,785,299,354,64,299,363,123,117,36,77,362,1316,4,0.4,0.37,0.88
1629731,150,56,2801,293,652,162,436,63,91,84,386,470,151,83,42,60,228,811,4,0.51,0.41,0.51
1629750,182,50,2910,353,657,68,198,167,221,166,356,522,126,141,66,92,267,941,4,0.54,0.34,0.73
1629788,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
1629875,10,0,137,25,51,5,14,3,5,2,12,14,24,7,3,6,9,58,1,0.49,0.36,0.6
1629962,13,0,219,26,72,21,53,11,14,1,10,11,11,10,4,7,18,84,2,0.37,0.39,0.79
1630162,199,182,6794,1543,3516,537,1533,667,859,156,857,1013,737,280,116,539,432,4290,3,0.44,0.35,0.78
1630163,154,134,4870,1061,2496,420,1128,422,507,203,766,969,1111,240,59,484,471,2964,3,0.42,0.37,0.83
1630164,59,27,1093,247,459,13,40,80,124,73,224,297,40,14,43,74,160,587,2,0.57,0.41,0.66
1630165,142,90,3637,440,1165,123,425,109,140,60,355,415,700,170,61,294,387,1112,3,0.37,0.29,0.79
1630166,186,70,4547,537,1257,179,578,215,293,128,869,997,355,135,85,192,479,1468,3,0.43,0.31,0.71
1630167,173,10,2505,453,909,127,384,132,173,113,419,532,140,56,54,100,196,1165,3,0.49,0.33,0.77
1630168,150,27,2859,456,694,1,8,194,272,316,517,833,123,87,159,126,420,1107,3,0.66,0.07,0.7
1630169,151,113,4909,865,1845,349,864,245,285,105,432,537,1118,238,78,317,198,2324,3,0.47,0.4,0.86
1630170,162,63,3900,655,1530,271,733,195,237,74,521,595,296,154,71,125,273,1776,3,0.43,0.37,0.82
1630171,188,152,5256,558,1229,154,482,287,387,177,370,547,304,159,69,178,460,1557,3,0.46,0.32,0.74
1630172,140,131,3934,507,1062,145,353,179,231,132,492,624,181,111,99,183,261,1338,3,0.49,0.44,0.78
1630173,164,38,3132,505,1072,71,219,195,328,284,590,874,142,76,90,163,305,1276,3,0.49,0.2,0.6
1630174,145,39,2372,307,735,142,420,118,140,81,311,392,101,73,35,99,316,874,3,0.42,0.33,0.82
1630175,148,102,4244,726,1804,230,682,421,492,92,642,734,707,99,55,332,362,2103,3,0.41,0.34,0.86
1630176,32,5,156,22,48,1,7,13,16,12,28,40,4,4,7,8,18,58,3,0.39,0.05,0.83
1630178,168,104,4656,915,1940,241,610,380,448,49,386,435,563,108,50,178,300,2451,3,0.47,0.37,0.85
1630180,202,165,6060,968,2412,485,1354,507,603,206,783,989,408,173,40,209,320,2928,3,0.4,0.36,0.84
1630181,115,14,1996,250,631,87,254,115,166,42,241,283,206,63,19,119,145,702,3,0.41,0.32,0.74
1630182,140,11,2256,269,524,65,183,91,134,112,209,321,156,92,19,91,239,694,3,0.5,0.31,0.66
1630183,185,110,4920,651,1371,215,616,147,201,196,529,725,252,138,168,198,578,1664,3,0.47,0.35,0.71
1630184,87,0,1336,207,520,56,189,61,71,22,103,125,179,51,12,65,117,531,3,0.43,0.28,0.89
1630188,125,37,1979,366,763,85,285,158,207,192,424,616,76,33,83,105,219,975,3,0.47,0.28,0.75
1630191,182,125,4487,645,1279,91,279,233,323,489,928,1417,199,80,193,211,511,1614,3,0.5,0.33,0.72
1630192,126,7,1655,229,437,73,182,88,132,126,187,313,38,39,35,48,184,619,3,0.52,0.38,0.7
1630193,195,15,4518,746,1844,344,955,445,509,91,510,601,573,129,21,218,392,2281,3,0.41,0.36,0.87
1630194,103,2,846,149,267,2,18,25,42,126,154,280,42,68,50,45,159,325,3,0.56,0.08,0.56
1630195,48,2,306,20,73,5,22,11,13,19,29,48,28,9,1,20,34,56,2,0.24,0.14,0.42
1630197,137,65,3000,432,1107,153,505,87,125,148,539,687,290,79,121,234,203,1104,3,0.4,0.32,0.69
1630198,140,4,1660,224,555,172,439,84,100,27,157,184,101,54,13,48,144,704,3,0.39,0.38,0.84
1630200,157,63,2917,457,998,48,187,200,236,77,279,356,594,117,15,148,166,1162,3,0.47,0.35,0.85
1630201,128,20,1982,264,703,121,359,73,97,33,203,236,261,72,14,72,163,722,3,0.38,0.34,0.73
1630202,174,8,2736,412,960,237,596,69,78,86,264,350,299,74,16,121,192,1130,3,0.42,0.38,0.85
